Raw_Data,ID,Status,Latency,Risk_Level
TXNID:236842 | STATUS:REJECTED | LATENCY:92ms,236842,REJECTED,92,CRITICAL
TXNID:928139 | STATUS:REJECTED | LATENCY:67ms,928139,REJECTED,67,CRITICAL
TXNID:331657 | STATUS:REJECTED | LATENCY:163ms,331657,REJECTED,163,CRITICAL
TXNID:622076 | STATUS:REJECTED | LATENCY:40ms,622076,REJECTED,40,CRITICAL
TXNID:259319 | STATUS:REJECTED | LATENCY:13ms,259319,REJECTED,13,CRITICAL
TXNID:698704 | STATUS:REJECTED | LATENCY:73ms,698704,REJECTED,73,CRITICAL
TXNID:101482 | STATUS:REJECTED | LATENCY:171ms,101482,REJECTED,171,CRITICAL
TXNID:203385 | STATUS:REJECTED | LATENCY:119ms,203385,REJECTED,119,CRITICAL
TXNID:772652 | STATUS:REJECTED | LATENCY:170ms,772652,REJECTED,170,CRITICAL
TXNID:612301 | STATUS:REJECTED | LATENCY:146ms,612301,REJECTED,146,CRITICAL
TXNID:740560 | STATUS:REJECTED | LATENCY:155ms,740560,REJECTED,155,CRITICAL
TXNID:156406 | STATUS:FAILURE | LATENCY:195ms,156406,FAILURE,195,CRITICAL
TXNID:538627 | STATUS:REJECTED | LATENCY:175ms,538627,REJECTED,175,CRITICAL
TXNID:48651 | STATUS:REJECTED | LATENCY:92ms,48651,REJECTED,92,CRITICAL
TXNID:29256 | STATUS:PENDING | LATENCY:198ms,29256,PENDING,198,CRITICAL
TXNID:312454 | STATUS:REJECTED | LATENCY:125ms,312454,REJECTED,125,CRITICAL
TXNID:600422 | STATUS:FAILURE | LATENCY:185ms,600422,FAILURE,185,CRITICAL
TXNID:817541 | STATUS:REJECTED | LATENCY:32ms,817541,REJECTED,32,CRITICAL
TXNID:402961 | STATUS:REJECTED | LATENCY:182ms,402961,REJECTED,182,CRITICAL
TXNID:109900 | STATUS:SUCCESS | LATENCY:185ms,109900,SUCCESS,185,CRITICAL
TXNID:706053 | STATUS:REJECTED | LATENCY:168ms,706053,REJECTED,168,CRITICAL
TXNID:601000 | STATUS:PENDING | LATENCY:193ms,601000,PENDING,193,CRITICAL
TXNID:20915 | STATUS:REJECTED | LATENCY:143ms,20915,REJECTED,143,CRITICAL
TXNID:244515 | STATUS:FAILURE | LATENCY:185ms,244515,FAILURE,185,CRITICAL
TXNID:13425 | STATUS:PENDING | LATENCY:196ms,13425,PENDING,196,CRITICAL
TXNID:768516 | STATUS:REJECTED | LATENCY:47ms,768516,REJECTED,47,CRITICAL
TXNID:902751 | STATUS:REJECTED | LATENCY:91ms,902751,REJECTED,91,CRITICAL
TXNID:471781 | STATUS:REJECTED | LATENCY:31ms,471781,REJECTED,31,CRITICAL
TXNID:538202 | STATUS:REJECTED | LATENCY:156ms,538202,REJECTED,156,CRITICAL
TXNID:531915 | STATUS:REJECTED | LATENCY:18ms,531915,REJECTED,18,CRITICAL
TXNID:791161 | STATUS:REJECTED | LATENCY:116ms,791161,REJECTED,116,CRITICAL
TXNID:299854 | STATUS:REJECTED | LATENCY:198ms,299854,REJECTED,198,CRITICAL
TXNID:430649 | STATUS:SUCCESS | LATENCY:188ms,430649,SUCCESS,188,CRITICAL
TXNID:311759 | STATUS:REJECTED | LATENCY:23ms,311759,REJECTED,23,CRITICAL
TXNID:758958 | STATUS:FAILURE | LATENCY:187ms,758958,FAILURE,187,CRITICAL
TXNID:522764 | STATUS:FAILURE | LATENCY:189ms,522764,FAILURE,189,CRITICAL
TXNID:971793 | STATUS:REJECTED | LATENCY:100ms,971793,REJECTED,100,CRITICAL
TXNID:596794 | STATUS:REJECTED | LATENCY:36ms,596794,REJECTED,36,CRITICAL
TXNID:561373 | STATUS:REJECTED | LATENCY:52ms,561373,REJECTED,52,CRITICAL
TXNID:639720 | STATUS:REJECTED | LATENCY:173ms,639720,REJECTED,173,CRITICAL
TXNID:972255 | STATUS:REJECTED | LATENCY:45ms,972255,REJECTED,45,CRITICAL
TXNID:153788 | STATUS:REJECTED | LATENCY:10ms,153788,REJECTED,10,CRITICAL
TXNID:877076 | STATUS:REJECTED | LATENCY:51ms,877076,REJECTED,51,CRITICAL
TXNID:808209 | STATUS:REJECTED | LATENCY:75ms,808209,REJECTED,75,CRITICAL
TXNID:824208 | STATUS:REJECTED | LATENCY:54ms,824208,REJECTED,54,CRITICAL
TXNID:582704 | STATUS:REJECTED | LATENCY:1ms,582704,REJECTED,1,CRITICAL
TXNID:561834 | STATUS:REJECTED | LATENCY:122ms,561834,REJECTED,122,CRITICAL
TXNID:232654 | STATUS:REJECTED | LATENCY:23ms,232654,REJECTED,23,CRITICAL
TXNID:284736 | STATUS:FAILURE | LATENCY:189ms,284736,FAILURE,189,CRITICAL
TXNID:375319 | STATUS:SUCCESS | LATENCY:197ms,375319,SUCCESS,197,CRITICAL
TXNID:711063 | STATUS:REJECTED | LATENCY:67ms,711063,REJECTED,67,CRITICAL
TXNID:244764 | STATUS:REJECTED | LATENCY:129ms,244764,REJECTED,129,CRITICAL
TXNID:698724 | STATUS:PENDING | LATENCY:186ms,698724,PENDING,186,CRITICAL
TXNID:775044 | STATUS:REJECTED | LATENCY:167ms,775044,REJECTED,167,CRITICAL
TXNID:856511 | STATUS:REJECTED | LATENCY:184ms,856511,REJECTED,184,CRITICAL
TXNID:848514 | STATUS:REJECTED | LATENCY:123ms,848514,REJECTED,123,CRITICAL
TXNID:564216 | STATUS:REJECTED | LATENCY:166ms,564216,REJECTED,166,CRITICAL
TXNID:282975 | STATUS:SUCCESS | LATENCY:194ms,282975,SUCCESS,194,CRITICAL
TXNID:148978 | STATUS:REJECTED | LATENCY:49ms,148978,REJECTED,49,CRITICAL
TXNID:823940 | STATUS:REJECTED | LATENCY:101ms,823940,REJECTED,101,CRITICAL
TXNID:304839 | STATUS:REJECTED | LATENCY:71ms,304839,REJECTED,71,CRITICAL
TXNID:943578 | STATUS:REJECTED | LATENCY:160ms,943578,REJECTED,160,CRITICAL
TXNID:930663 | STATUS:REJECTED | LATENCY:0ms,930663,REJECTED,0,CRITICAL
TXNID:163762 | STATUS:REJECTED | LATENCY:63ms,163762,REJECTED,63,CRITICAL
TXNID:209342 | STATUS:REJECTED | LATENCY:93ms,209342,REJECTED,93,CRITICAL
TXNID:54054 | STATUS:REJECTED | LATENCY:124ms,54054,REJECTED,124,CRITICAL
TXNID:577815 | STATUS:PENDING | LATENCY:181ms,577815,PENDING,181,CRITICAL
TXNID:617292 | STATUS:SUCCESS | LATENCY:195ms,617292,SUCCESS,195,CRITICAL
TXNID:528340 | STATUS:REJECTED | LATENCY:88ms,528340,REJECTED,88,CRITICAL
TXNID:848030 | STATUS:REJECTED | LATENCY:87ms,848030,REJECTED,87,CRITICAL
TXNID:957782 | STATUS:REJECTED | LATENCY:70ms,957782,REJECTED,70,CRITICAL
TXNID:833337 | STATUS:REJECTED | LATENCY:178ms,833337,REJECTED,178,CRITICAL
TXNID:777116 | STATUS:REJECTED | LATENCY:192ms,777116,REJECTED,192,CRITICAL
TXNID:548103 | STATUS:REJECTED | LATENCY:126ms,548103,REJECTED,126,CRITICAL
TXNID:816788 | STATUS:REJECTED | LATENCY:166ms,816788,REJECTED,166,CRITICAL
TXNID:577058 | STATUS:REJECTED | LATENCY:51ms,577058,REJECTED,51,CRITICAL
TXNID:829857 | STATUS:REJECTED | LATENCY:100ms,829857,REJECTED,100,CRITICAL
TXNID:213122 | STATUS:REJECTED | LATENCY:144ms,213122,REJECTED,144,CRITICAL
TXNID:145277 | STATUS:FAILURE | LATENCY:191ms,145277,FAILURE,191,CRITICAL
TXNID:58126 | STATUS:PENDING | LATENCY:196ms,58126,PENDING,196,CRITICAL
TXNID:205884 | STATUS:REJECTED | LATENCY:93ms,205884,REJECTED,93,CRITICAL
TXNID:28109 | STATUS:REJECTED | LATENCY:35ms,28109,REJECTED,35,CRITICAL
TXNID:529485 | STATUS:REJECTED | LATENCY:128ms,529485,REJECTED,128,CRITICAL
TXNID:273497 | STATUS:REJECTED | LATENCY:100ms,273497,REJECTED,100,CRITICAL
TXNID:496166 | STATUS:REJECTED | LATENCY:49ms,496166,REJECTED,49,CRITICAL
TXNID:870230 | STATUS:REJECTED | LATENCY:49ms,870230,REJECTED,49,CRITICAL
TXNID:21871 | STATUS:FAILURE | LATENCY:189ms,21871,FAILURE,189,CRITICAL
TXNID:503705 | STATUS:REJECTED | LATENCY:189ms,503705,REJECTED,189,CRITICAL
TXNID:801098 | STATUS:REJECTED | LATENCY:45ms,801098,REJECTED,45,CRITICAL
TXNID:241051 | STATUS:PENDING | LATENCY:185ms,241051,PENDING,185,CRITICAL
TXNID:43157 | STATUS:REJECTED | LATENCY:78ms,43157,REJECTED,78,CRITICAL
TXNID:394140 | STATUS:REJECTED | LATENCY:139ms,394140,REJECTED,139,CRITICAL
TXNID:221728 | STATUS:REJECTED | LATENCY:14ms,221728,REJECTED,14,CRITICAL
TXNID:364158 | STATUS:REJECTED | LATENCY:33ms,364158,REJECTED,33,CRITICAL
TXNID:877289 | STATUS:REJECTED | LATENCY:84ms,877289,REJECTED,84,CRITICAL
TXNID:839213 | STATUS:PENDING | LATENCY:181ms,839213,PENDING,181,CRITICAL
TXNID:705224 | STATUS:REJECTED | LATENCY:0ms,705224,REJECTED,0,CRITICAL
TXNID:581532 | STATUS:REJECTED | LATENCY:81ms,581532,REJECTED,81,CRITICAL
TXNID:908795 | STATUS:REJECTED | LATENCY:84ms,908795,REJECTED,84,CRITICAL
TXNID:648495 | STATUS:REJECTED | LATENCY:110ms,648495,REJECTED,110,CRITICAL
TXNID:506737 | STATUS:REJECTED | LATENCY:40ms,506737,REJECTED,40,CRITICAL
TXNID:381674 | STATUS:REJECTED | LATENCY:182ms,381674,REJECTED,182,CRITICAL
TXNID:287282 | STATUS:REJECTED | LATENCY:37ms,287282,REJECTED,37,CRITICAL
TXNID:175762 | STATUS:REJECTED | LATENCY:147ms,175762,REJECTED,147,CRITICAL
TXNID:496991 | STATUS:PENDING | LATENCY:182ms,496991,PENDING,182,CRITICAL
TXNID:930140 | STATUS:REJECTED | LATENCY:164ms,930140,REJECTED,164,CRITICAL
TXNID:803305 | STATUS:REJECTED | LATENCY:54ms,803305,REJECTED,54,CRITICAL
TXNID:388051 | STATUS:SUCCESS | LATENCY:189ms,388051,SUCCESS,189,CRITICAL
TXNID:344568 | STATUS:REJECTED | LATENCY:29ms,344568,REJECTED,29,CRITICAL
TXNID:307182 | STATUS:FAILURE | LATENCY:184ms,307182,FAILURE,184,CRITICAL
TXNID:246572 | STATUS:REJECTED | LATENCY:161ms,246572,REJECTED,161,CRITICAL
TXNID:833886 | STATUS:REJECTED | LATENCY:121ms,833886,REJECTED,121,CRITICAL
TXNID:391581 | STATUS:REJECTED | LATENCY:113ms,391581,REJECTED,113,CRITICAL
TXNID:68277 | STATUS:REJECTED | LATENCY:109ms,68277,REJECTED,109,CRITICAL
TXNID:300048 | STATUS:REJECTED | LATENCY:99ms,300048,REJECTED,99,CRITICAL
TXNID:825319 | STATUS:SUCCESS | LATENCY:184ms,825319,SUCCESS,184,CRITICAL
TXNID:49797 | STATUS:REJECTED | LATENCY:122ms,49797,REJECTED,122,CRITICAL
TXNID:273060 | STATUS:REJECTED | LATENCY:154ms,273060,REJECTED,154,CRITICAL
TXNID:95942 | STATUS:REJECTED | LATENCY:21ms,95942,REJECTED,21,CRITICAL
TXNID:960484 | STATUS:REJECTED | LATENCY:65ms,960484,REJECTED,65,CRITICAL
TXNID:614208 | STATUS:REJECTED | LATENCY:94ms,614208,REJECTED,94,CRITICAL
TXNID:862935 | STATUS:REJECTED | LATENCY:78ms,862935,REJECTED,78,CRITICAL
TXNID:412639 | STATUS:REJECTED | LATENCY:18ms,412639,REJECTED,18,CRITICAL
TXNID:616864 | STATUS:REJECTED | LATENCY:20ms,616864,REJECTED,20,CRITICAL
TXNID:592753 | STATUS:REJECTED | LATENCY:66ms,592753,REJECTED,66,CRITICAL
TXNID:203876 | STATUS:REJECTED | LATENCY:120ms,203876,REJECTED,120,CRITICAL
TXNID:251634 | STATUS:REJECTED | LATENCY:87ms,251634,REJECTED,87,CRITICAL
TXNID:433819 | STATUS:SUCCESS | LATENCY:198ms,433819,SUCCESS,198,CRITICAL
TXNID:697699 | STATUS:PENDING | LATENCY:183ms,697699,PENDING,183,CRITICAL
TXNID:685791 | STATUS:REJECTED | LATENCY:4ms,685791,REJECTED,4,CRITICAL
TXNID:613190 | STATUS:REJECTED | LATENCY:118ms,613190,REJECTED,118,CRITICAL
TXNID:336543 | STATUS:SUCCESS | LATENCY:192ms,336543,SUCCESS,192,CRITICAL
TXNID:154974 | STATUS:PENDING | LATENCY:196ms,154974,PENDING,196,CRITICAL
TXNID:557767 | STATUS:REJECTED | LATENCY:50ms,557767,REJECTED,50,CRITICAL
TXNID:518109 | STATUS:REJECTED | LATENCY:66ms,518109,REJECTED,66,CRITICAL
TXNID:817973 | STATUS:PENDING | LATENCY:199ms,817973,PENDING,199,CRITICAL
TXNID:723382 | STATUS:REJECTED | LATENCY:83ms,723382,REJECTED,83,CRITICAL
TXNID:915313 | STATUS:REJECTED | LATENCY:104ms,915313,REJECTED,104,CRITICAL
TXNID:209547 | STATUS:REJECTED | LATENCY:188ms,209547,REJECTED,188,CRITICAL
TXNID:76698 | STATUS:REJECTED | LATENCY:16ms,76698,REJECTED,16,CRITICAL
TXNID:18724 | STATUS:PENDING | LATENCY:186ms,18724,PENDING,186,CRITICAL
TXNID:159872 | STATUS:PENDING | LATENCY:193ms,159872,PENDING,193,CRITICAL
TXNID:386993 | STATUS:REJECTED | LATENCY:135ms,386993,REJECTED,135,CRITICAL
TXNID:356760 | STATUS:REJECTED | LATENCY:151ms,356760,REJECTED,151,CRITICAL
TXNID:46788 | STATUS:SUCCESS | LATENCY:185ms,46788,SUCCESS,185,CRITICAL
TXNID:115757 | STATUS:PENDING | LATENCY:190ms,115757,PENDING,190,CRITICAL
TXNID:305420 | STATUS:REJECTED | LATENCY:42ms,305420,REJECTED,42,CRITICAL
TXNID:676054 | STATUS:REJECTED | LATENCY:17ms,676054,REJECTED,17,CRITICAL
TXNID:589871 | STATUS:REJECTED | LATENCY:34ms,589871,REJECTED,34,CRITICAL
TXNID:259299 | STATUS:REJECTED | LATENCY:150ms,259299,REJECTED,150,CRITICAL
TXNID:196787 | STATUS:REJECTED | LATENCY:4ms,196787,REJECTED,4,CRITICAL
TXNID:200046 | STATUS:REJECTED | LATENCY:93ms,200046,REJECTED,93,CRITICAL
TXNID:12327 | STATUS:SUCCESS | LATENCY:193ms,12327,SUCCESS,193,CRITICAL
TXNID:615968 | STATUS:REJECTED | LATENCY:23ms,615968,REJECTED,23,CRITICAL
TXNID:349550 | STATUS:FAILURE | LATENCY:187ms,349550,FAILURE,187,CRITICAL
TXNID:963789 | STATUS:FAILURE | LATENCY:192ms,963789,FAILURE,192,CRITICAL
TXNID:583722 | STATUS:REJECTED | LATENCY:59ms,583722,REJECTED,59,CRITICAL
TXNID:901212 | STATUS:REJECTED | LATENCY:176ms,901212,REJECTED,176,CRITICAL
TXNID:238137 | STATUS:REJECTED | LATENCY:97ms,238137,REJECTED,97,CRITICAL
TXNID:272441 | STATUS:FAILURE | LATENCY:188ms,272441,FAILURE,188,CRITICAL
TXNID:709351 | STATUS:PENDING | LATENCY:181ms,709351,PENDING,181,CRITICAL
TXNID:353812 | STATUS:REJECTED | LATENCY:129ms,353812,REJECTED,129,CRITICAL
TXNID:763137 | STATUS:REJECTED | LATENCY:171ms,763137,REJECTED,171,CRITICAL
TXNID:846542 | STATUS:REJECTED | LATENCY:182ms,846542,REJECTED,182,CRITICAL
TXNID:421780 | STATUS:REJECTED | LATENCY:55ms,421780,REJECTED,55,CRITICAL
TXNID:202000 | STATUS:REJECTED | LATENCY:44ms,202000,REJECTED,44,CRITICAL
TXNID:923554 | STATUS:REJECTED | LATENCY:144ms,923554,REJECTED,144,CRITICAL
TXNID:941899 | STATUS:REJECTED | LATENCY:197ms,941899,REJECTED,197,CRITICAL
TXNID:325630 | STATUS:REJECTED | LATENCY:130ms,325630,REJECTED,130,CRITICAL
TXNID:220713 | STATUS:REJECTED | LATENCY:159ms,220713,REJECTED,159,CRITICAL
TXNID:224162 | STATUS:REJECTED | LATENCY:8ms,224162,REJECTED,8,CRITICAL
TXNID:557385 | STATUS:REJECTED | LATENCY:48ms,557385,REJECTED,48,CRITICAL
TXNID:893177 | STATUS:REJECTED | LATENCY:28ms,893177,REJECTED,28,CRITICAL
TXNID:877580 | STATUS:REJECTED | LATENCY:140ms,877580,REJECTED,140,CRITICAL
TXNID:574501 | STATUS:PENDING | LATENCY:189ms,574501,PENDING,189,CRITICAL
TXNID:133954 | STATUS:REJECTED | LATENCY:136ms,133954,REJECTED,136,CRITICAL
TXNID:1506 | STATUS:FAILURE | LATENCY:198ms,1506,FAILURE,198,CRITICAL
TXNID:469767 | STATUS:REJECTED | LATENCY:77ms,469767,REJECTED,77,CRITICAL
TXNID:947440 | STATUS:PENDING | LATENCY:196ms,947440,PENDING,196,CRITICAL
TXNID:149937 | STATUS:REJECTED | LATENCY:76ms,149937,REJECTED,76,CRITICAL
TXNID:14382 | STATUS:REJECTED | LATENCY:149ms,14382,REJECTED,149,CRITICAL
TXNID:942082 | STATUS:PENDING | LATENCY:197ms,942082,PENDING,197,CRITICAL
TXNID:47612 | STATUS:REJECTED | LATENCY:188ms,47612,REJECTED,188,CRITICAL
TXNID:636410 | STATUS:PENDING | LATENCY:197ms,636410,PENDING,197,CRITICAL
TXNID:21292 | STATUS:REJECTED | LATENCY:143ms,21292,REJECTED,143,CRITICAL
TXNID:312259 | STATUS:REJECTED | LATENCY:117ms,312259,REJECTED,117,CRITICAL
TXNID:403764 | STATUS:REJECTED | LATENCY:71ms,403764,REJECTED,71,CRITICAL
TXNID:935255 | STATUS:REJECTED | LATENCY:2ms,935255,REJECTED,2,CRITICAL
TXNID:749574 | STATUS:REJECTED | LATENCY:70ms,749574,REJECTED,70,CRITICAL
TXNID:183094 | STATUS:PENDING | LATENCY:185ms,183094,PENDING,185,CRITICAL
TXNID:403932 | STATUS:REJECTED | LATENCY:193ms,403932,REJECTED,193,CRITICAL
TXNID:198017 | STATUS:SUCCESS | LATENCY:185ms,198017,SUCCESS,185,CRITICAL
TXNID:829179 | STATUS:REJECTED | LATENCY:182ms,829179,REJECTED,182,CRITICAL
TXNID:59756 | STATUS:REJECTED | LATENCY:39ms,59756,REJECTED,39,CRITICAL
TXNID:976599 | STATUS:REJECTED | LATENCY:27ms,976599,REJECTED,27,CRITICAL
TXNID:598586 | STATUS:SUCCESS | LATENCY:184ms,598586,SUCCESS,184,CRITICAL
TXNID:621316 | STATUS:REJECTED | LATENCY:87ms,621316,REJECTED,87,CRITICAL
TXNID:498018 | STATUS:PENDING | LATENCY:186ms,498018,PENDING,186,CRITICAL
TXNID:54946 | STATUS:REJECTED | LATENCY:185ms,54946,REJECTED,185,CRITICAL
TXNID:89769 | STATUS:REJECTED | LATENCY:74ms,89769,REJECTED,74,CRITICAL
TXNID:779550 | STATUS:REJECTED | LATENCY:99ms,779550,REJECTED,99,CRITICAL
TXNID:143675 | STATUS:REJECTED | LATENCY:115ms,143675,REJECTED,115,CRITICAL
TXNID:531144 | STATUS:REJECTED | LATENCY:87ms,531144,REJECTED,87,CRITICAL
TXNID:606786 | STATUS:REJECTED | LATENCY:65ms,606786,REJECTED,65,CRITICAL
TXNID:476766 | STATUS:REJECTED | LATENCY:184ms,476766,REJECTED,184,CRITICAL
TXNID:146372 | STATUS:REJECTED | LATENCY:31ms,146372,REJECTED,31,CRITICAL
TXNID:293510 | STATUS:REJECTED | LATENCY:191ms,293510,REJECTED,191,CRITICAL
TXNID:697371 | STATUS:REJECTED | LATENCY:88ms,697371,REJECTED,88,CRITICAL
TXNID:413434 | STATUS:REJECTED | LATENCY:60ms,413434,REJECTED,60,CRITICAL
TXNID:210411 | STATUS:REJECTED | LATENCY:66ms,210411,REJECTED,66,CRITICAL
TXNID:751656 | STATUS:REJECTED | LATENCY:127ms,751656,REJECTED,127,CRITICAL
TXNID:734383 | STATUS:REJECTED | LATENCY:79ms,734383,REJECTED,79,CRITICAL
TXNID:454913 | STATUS:REJECTED | LATENCY:62ms,454913,REJECTED,62,CRITICAL
TXNID:628552 | STATUS:SUCCESS | LATENCY:199ms,628552,SUCCESS,199,CRITICAL
TXNID:437916 | STATUS:REJECTED | LATENCY:23ms,437916,REJECTED,23,CRITICAL
TXNID:128114 | STATUS:REJECTED | LATENCY:40ms,128114,REJECTED,40,CRITICAL
TXNID:889264 | STATUS:REJECTED | LATENCY:190ms,889264,REJECTED,190,CRITICAL
TXNID:230576 | STATUS:REJECTED | LATENCY:87ms,230576,REJECTED,87,CRITICAL
TXNID:569627 | STATUS:REJECTED | LATENCY:88ms,569627,REJECTED,88,CRITICAL
TXNID:477300 | STATUS:REJECTED | LATENCY:194ms,477300,REJECTED,194,CRITICAL
TXNID:381476 | STATUS:REJECTED | LATENCY:18ms,381476,REJECTED,18,CRITICAL
TXNID:614318 | STATUS:REJECTED | LATENCY:42ms,614318,REJECTED,42,CRITICAL
TXNID:338954 | STATUS:REJECTED | LATENCY:2ms,338954,REJECTED,2,CRITICAL
TXNID:591127 | STATUS:REJECTED | LATENCY:53ms,591127,REJECTED,53,CRITICAL
TXNID:108829 | STATUS:REJECTED | LATENCY:152ms,108829,REJECTED,152,CRITICAL
TXNID:819713 | STATUS:REJECTED | LATENCY:130ms,819713,REJECTED,130,CRITICAL
TXNID:769628 | STATUS:REJECTED | LATENCY:194ms,769628,REJECTED,194,CRITICAL
TXNID:940244 | STATUS:REJECTED | LATENCY:35ms,940244,REJECTED,35,CRITICAL
TXNID:633407 | STATUS:REJECTED | LATENCY:62ms,633407,REJECTED,62,CRITICAL
TXNID:23056 | STATUS:REJECTED | LATENCY:158ms,23056,REJECTED,158,CRITICAL
TXNID:990860 | STATUS:REJECTED | LATENCY:64ms,990860,REJECTED,64,CRITICAL
TXNID:310282 | STATUS:SUCCESS | LATENCY:190ms,310282,SUCCESS,190,CRITICAL
TXNID:851968 | STATUS:REJECTED | LATENCY:66ms,851968,REJECTED,66,CRITICAL
TXNID:850553 | STATUS:REJECTED | LATENCY:181ms,850553,REJECTED,181,CRITICAL
TXNID:972514 | STATUS:REJECTED | LATENCY:131ms,972514,REJECTED,131,CRITICAL
TXNID:739353 | STATUS:REJECTED | LATENCY:119ms,739353,REJECTED,119,CRITICAL
TXNID:80674 | STATUS:SUCCESS | LATENCY:187ms,80674,SUCCESS,187,CRITICAL
TXNID:378794 | STATUS:REJECTED | LATENCY:79ms,378794,REJECTED,79,CRITICAL
TXNID:456090 | STATUS:REJECTED | LATENCY:154ms,456090,REJECTED,154,CRITICAL
TXNID:587028 | STATUS:REJECTED | LATENCY:84ms,587028,REJECTED,84,CRITICAL
TXNID:673788 | STATUS:REJECTED | LATENCY:156ms,673788,REJECTED,156,CRITICAL
TXNID:301594 | STATUS:FAILURE | LATENCY:190ms,301594,FAILURE,190,CRITICAL
TXNID:789645 | STATUS:REJECTED | LATENCY:88ms,789645,REJECTED,88,CRITICAL
TXNID:165468 | STATUS:REJECTED | LATENCY:72ms,165468,REJECTED,72,CRITICAL
TXNID:912791 | STATUS:REJECTED | LATENCY:159ms,912791,REJECTED,159,CRITICAL
TXNID:876681 | STATUS:REJECTED | LATENCY:69ms,876681,REJECTED,69,CRITICAL
TXNID:83960 | STATUS:REJECTED | LATENCY:182ms,83960,REJECTED,182,CRITICAL
TXNID:593147 | STATUS:REJECTED | LATENCY:165ms,593147,REJECTED,165,CRITICAL
TXNID:204236 | STATUS:REJECTED | LATENCY:171ms,204236,REJECTED,171,CRITICAL
TXNID:248480 | STATUS:SUCCESS | LATENCY:189ms,248480,SUCCESS,189,CRITICAL
TXNID:951156 | STATUS:REJECTED | LATENCY:99ms,951156,REJECTED,99,CRITICAL
TXNID:915855 | STATUS:REJECTED | LATENCY:39ms,915855,REJECTED,39,CRITICAL
TXNID:886241 | STATUS:REJECTED | LATENCY:13ms,886241,REJECTED,13,CRITICAL
TXNID:987979 | STATUS:REJECTED | LATENCY:146ms,987979,REJECTED,146,CRITICAL
TXNID:9299 | STATUS:REJECTED | LATENCY:113ms,9299,REJECTED,113,CRITICAL
TXNID:347297 | STATUS:FAILURE | LATENCY:196ms,347297,FAILURE,196,CRITICAL
TXNID:91785 | STATUS:REJECTED | LATENCY:84ms,91785,REJECTED,84,CRITICAL
TXNID:522319 | STATUS:REJECTED | LATENCY:41ms,522319,REJECTED,41,CRITICAL
TXNID:592582 | STATUS:REJECTED | LATENCY:173ms,592582,REJECTED,173,CRITICAL
TXNID:689565 | STATUS:REJECTED | LATENCY:179ms,689565,REJECTED,179,CRITICAL
TXNID:430497 | STATUS:REJECTED | LATENCY:48ms,430497,REJECTED,48,CRITICAL
